date,yr,mn,dy,rmm1,rmm2,ph,amp
12/17/1974,1974,12,17,-0.48232999,0.69856101,7,0.84890199
12/18/1974,1974,12,18,-0.36357,0.71566701,7,0.80272198
12/19/1974,1974,12,19,-0.50213999,0.67306399,7,0.83973598
12/20/1974,1974,12,20,-0.94752997,0.73516202,8,1.19928
12/21/1974,1974,12,21,-1.26679,0.49437299,8,1.35984
12/22/1974,1974,12,22,-1.49286,0.410409,8,1.54825
12/23/1974,1974,12,23,-1.41895,-0.18106,1,1.43045
12/24/1974,1974,12,24,-1.4376301,-0.36104,1,1.48227
12/25/1974,1974,12,25,-1.35058,-0.54887998,1,1.45786
12/26/1974,1974,12,26,-1.08541,-0.86048001,1,1.38512
12/27/1974,1974,12,27,-0.72742999,-1.0168999,2,1.25029
12/28/1974,1974,12,28,-0.49579999,-0.72926003,2,0.88183898
12/29/1974,1974,12,29,-0.26330999,-0.53425997,2,0.59562302
12/30/1974,1974,12,30,7.71E-02,-0.71886998,3,0.723001
12/31/1974,1974,12,31,0.18778899,-1.0711401,3,1.0874799
1/1/1975,1975,1,1,0.349933,-1.0221699,3,1.08041
1/2/1975,1975,1,2,0.40193501,-1.21842,3,1.28301
1/3/1975,1975,1,3,0.54532498,-1.0697,3,1.20068
1/4/1975,1975,1,4,0.240114,-1.0589401,3,1.08583
1/5/1975,1975,1,5,0.210399,-1.01378,3,1.03538
1/6/1975,1975,1,6,0.42651001,-1.13214,3,1.20982
1/7/1975,1975,1,7,0.86389297,-1.11867,3,1.4134099
1/8/1975,1975,1,8,1.09816,-0.67984998,4,1.2915699
1/9/1975,1975,1,9,1.39965,-0.18226001,4,1.4114701
1/10/1975,1975,1,10,1.38129,5.68E-02,5,1.38245
1/11/1975,1975,1,11,1.42846,0.182018,5,1.44001
1/12/1975,1975,1,12,1.19234,0.47753599,5,1.28441
1/13/1975,1975,1,13,0.704045,0.70962799,6,0.99962503
1/14/1975,1975,1,14,0.49998,1.20179,6,1.30165
1/15/1975,1975,1,15,0.24922401,1.41221,6,1.4340301
1/16/1975,1975,1,16,-0.21245,1.70046,7,1.71368
1/17/1975,1975,1,17,-0.65570003,1.72551,7,1.84589
1/18/1975,1975,1,18,-1.0711,1.53573,7,1.87236
1/19/1975,1975,1,19,-1.5177799,1.17969,8,1.92233
1/20/1975,1975,1,20,-1.97859,1.23032,8,2.3299201
1/21/1975,1975,1,21,-2.0882001,0.85870099,8,2.25787
1/22/1975,1975,1,22,-1.9653701,0.66494399,8,2.07481
1/23/1975,1975,1,23,-1.9603,0.47571099,8,2.0172
1/24/1975,1975,1,24,-1.8009599,0.42873499,8,1.85129
1/25/1975,1975,1,25,-2.0430901,0.43445101,8,2.0887699
1/26/1975,1975,1,26,-1.92614,0.615197,8,2.0220001
1/27/1975,1975,1,27,-1.776,0.86228597,8,1.97426
1/28/1975,1975,1,28,-1.8505501,1.17949,8,2.1944799
1/29/1975,1975,1,29,-2.0741899,0.75050199,8,2.20579
1/30/1975,1975,1,30,-2.3092201,0.61277997,8,2.3891399
1/31/1975,1975,1,31,-2.155,0.24450999,8,2.1688299
2/1/1975,1975,2,1,-2.0206599,-0.1508,1,2.0262799
2/2/1975,1975,2,2,-1.78478,-0.53523999,1,1.86331
2/3/1975,1975,2,3,-1.67861,-1.04601,1,1.9778399
2/4/1975,1975,2,4,-1.45917,-1.4988199,2,2.09181
2/5/1975,1975,2,5,-1.25,-1.58734,2,2.0204301
2/6/1975,1975,2,6,-1.1558,-1.73176,2,2.0820301
2/7/1975,1975,2,7,-0.92308998,-2.1097701,2,2.30288
2/8/1975,1975,2,8,-0.30785999,-2.03526,2,2.0584099
2/9/1975,1975,2,9,0.317404,-1.65631,3,1.68644
2/10/1975,1975,2,10,0.79782802,-1.39782,3,1.60948
2/11/1975,1975,2,11,1.06186,-0.90051001,4,1.39229
2/12/1975,1975,2,12,1.3392,-0.51899999,4,1.43625
2/13/1975,1975,2,13,1.30162,-1.31E-02,4,1.30168
2/14/1975,1975,2,14,1.28277,0.329366,5,1.32438
2/15/1975,1975,2,15,1.08165,0.866642,5,1.3860101
2/16/1975,1975,2,16,0.75317901,1.02104,6,1.26878
2/17/1975,1975,2,17,0.20764901,0.94213402,6,0.964746
2/18/1975,1975,2,18,-0.44931,1.03002,7,1.12375
2/19/1975,1975,2,19,-0.82283002,0.906021,7,1.2239
2/20/1975,1975,2,20,-1.02951,0.52389401,8,1.15514
2/21/1975,1975,2,21,-1.16531,0.38895699,8,1.22851
2/22/1975,1975,2,22,-1.1001,-0.12433,1,1.1071
2/23/1975,1975,2,23,-1.38481,-4.17E-02,1,1.38544
2/24/1975,1975,2,24,-1.51317,-6.65E-02,1,1.51463
2/25/1975,1975,2,25,-1.35691,-0.28832999,1,1.38721
2/26/1975,1975,2,26,-0.87691998,-0.59785002,1,1.06133
2/27/1975,1975,2,27,-0.70519,-0.99058002,2,1.21595
2/28/1975,1975,2,28,-0.54053998,-1.1344301,2,1.2566299
3/1/1975,1975,3,1,-0.35677001,-1.2005399,2,1.25243
3/2/1975,1975,3,2,-7.55E-02,-1.199,2,1.20137
3/3/1975,1975,3,3,-6.70E-02,-1.29046,2,1.2922
3/4/1975,1975,3,4,-0.43504,-1.425,2,1.48993
3/5/1975,1975,3,5,-0.44707,-1.37059,2,1.44166
3/6/1975,1975,3,6,-5.64E-02,-1.49341,2,1.49447
3/7/1975,1975,3,7,0.34938201,-1.57543,3,1.61371
3/8/1975,1975,3,8,0.22672901,-1.60545,3,1.62138
3/9/1975,1975,3,9,0.287541,-1.34672,3,1.37708
3/10/1975,1975,3,10,0.42356899,-1.1422,3,1.21821
3/11/1975,1975,3,11,0.41606101,-1.33121,3,1.39472
3/12/1975,1975,3,12,0.45040801,-1.49685,3,1.56314
3/13/1975,1975,3,13,0.426135,-1.56566,3,1.62262
3/14/1975,1975,3,14,0.61128998,-1.68682,3,1.79417
3/15/1975,1975,3,15,0.96258801,-1.93252,3,2.1589799
3/16/1975,1975,3,16,1.0669301,-2.08757,3,2.34442
3/17/1975,1975,3,17,1.28534,-1.74719,3,2.16905
3/18/1975,1975,3,18,1.1344301,-1.29023,3,1.71803
3/19/1975,1975,3,19,1.07235,-0.95157999,4,1.4336801
3/20/1975,1975,3,20,1.4071,-0.68189001,4,1.56362
3/21/1975,1975,3,21,1.5728101,-0.71108001,4,1.7260799
3/22/1975,1975,3,22,1.5787899,-0.33386001,4,1.6137
3/23/1975,1975,3,23,1.49852,0.31308901,5,1.53088
3/24/1975,1975,3,24,1.42146,0.662099,5,1.56809
3/25/1975,1975,3,25,1.32772,0.93325299,5,1.6229
3/26/1975,1975,3,26,0.91228598,0.95528197,6,1.32092
3/27/1975,1975,3,27,0.19299001,0.738469,6,0.76327097
3/28/1975,1975,3,28,-0.25271001,0.776411,7,0.81650299
3/29/1975,1975,3,29,-0.33397999,1.02918,7,1.08201
3/30/1975,1975,3,30,-0.46474999,1.25758,7,1.34071
3/31/1975,1975,3,31,-0.70596999,1.52897,7,1.68409
4/1/1975,1975,4,1,-0.81059003,1.5536799,7,1.7524199
4/2/1975,1975,4,2,-0.85487998,1.1937701,7,1.4683
4/3/1975,1975,4,3,-1.0080301,0.85826802,8,1.32392
4/4/1975,1975,4,4,-1.36239,0.85376298,8,1.6078
